,year,semester,course_id,class_number,counts,key
163,2021,2,IF3210,3,54,2021-2-IF3210-3
164,2021,2,IF3210,4,54,2021-2-IF3210-4
165,2021,2,IF3230,1,57,2021-2-IF3230-1
166,2021,2,IF3230,2,55,2021-2-IF3230-2
167,2021,2,IF3230,3,52,2021-2-IF3230-3
168,2021,2,IF3230,4,58,2021-2-IF3230-4
169,2021,2,IF3250,1,73,2021-2-IF3250-1
170,2021,2,IF3250,2,75,2021-2-IF3250-2
171,2021,2,IF3250,3,72,2021-2-IF3250-3
172,2021,2,IF3260,1,60,2021-2-IF3260-1
173,2021,2,IF3260,2,56,2021-2-IF3260-2
174,2021,2,IF3260,3,55,2021-2-IF3260-3
175,2021,2,IF3260,4,54,2021-2-IF3260-4
176,2021,2,IF3270,1,59,2021-2-IF3270-1
177,2021,2,IF3270,2,58,2021-2-IF3270-2
178,2021,2,IF3270,3,54,2021-2-IF3270-3
179,2021,2,IF3270,4,57,2021-2-IF3270-4
180,2021,2,IF3280,1,55,2021-2-IF3280-1
181,2021,2,IF3280,2,55,2021-2-IF3280-2
182,2021,2,IF3280,3,53,2021-2-IF3280-3
183,2021,2,IF3280,4,55,2021-2-IF3280-4
184,2021,2,IF4021,1,43,2021-2-IF4021-1
185,2021,2,IF4033,1,31,2021-2-IF4033-1
186,2021,2,IF4042,1,40,2021-2-IF4042-1
187,2021,2,IF4044,1,41,2021-2-IF4044-1
188,2021,2,IF4051,1,18,2021-2-IF4051-1
189,2021,2,IF4061,1,60,2021-2-IF4061-1
190,2021,2,IF4073,1,17,2021-2-IF4073-1
191,2021,2,IF4090,1,5,2021-2-IF4090-1
192,2021,2,IF4091,1,21,2021-2-IF4091-1
193,2021,2,IF4092,1,84,2021-2-IF4092-1
194,2021,2,IF4092,2,77,2021-2-IF4092-2
195,2021,2,IF5011,1,6,2021-2-IF5011-1
196,2021,2,IF5092,1,2,2021-2-IF5092-1
197,2021,2,IF5099,1,36,2021-2-IF5099-1
198,2021,2,IF5099,2,41,2021-2-IF5099-2
199,2021,2,IF5121,1,3,2021-2-IF5121-1
200,2021,2,IF5122,1,15,2021-2-IF5122-1
201,2021,2,IF5123,1,12,2021-2-IF5123-1
202,2021,2,IF5124,1,16,2021-2-IF5124-1
203,2021,2,IF5133,1,30,2021-2-IF5133-1
204,2021,2,IF5134,1,29,2021-2-IF5134-1
205,2021,2,IF5135,1,35,2021-2-IF5135-1
206,2021,2,IF5141,1,16,2021-2-IF5141-1
207,2021,2,IF5142,1,8,2021-2-IF5142-1
208,2021,2,IF5143,1,4,2021-2-IF5143-1
209,2021,2,IF5144,1,11,2021-2-IF5144-1
210,2021,2,IF5145,1,13,2021-2-IF5145-1
211,2021,2,IF5152,1,9,2021-2-IF5152-1
212,2021,2,IF5153,1,20,2021-2-IF5153-1
213,2021,2,IF5154,1,11,2021-2-IF5154-1
214,2021,2,IF5172,1,17,2021-2-IF5172-1
215,2021,2,IF5174,1,19,2021-2-IF5174-1
216,2021,2,IF5175,1,41,2021-2-IF5175-1
217,2021,2,IF5182,1,14,2021-2-IF5182-1
218,2021,2,IF6010,1,12,2021-2-IF6010-1
219,2021,2,IF6011,1,8,2021-2-IF6011-1
220,2021,2,IF6036,1,22,2021-2-IF6036-1
221,2021,2,IF6046,1,33,2021-2-IF6046-1
222,2021,2,IF6047,1,15,2021-2-IF6047-1
223,2021,2,IF6082,1,32,2021-2-IF6082-1
224,2021,2,IF6099,1,30,2021-2-IF6099-1
225,2021,2,IF6125,1,22,2021-2-IF6125-1
226,2021,2,II2220,1,55,2021-2-II2220-1
227,2021,2,II2220,2,59,2021-2-II2220-2
228,2021,2,II2221,1,57,2021-2-II2221-1
229,2021,2,II2221,2,52,2021-2-II2221-2
230,2021,2,II2230,1,55,2021-2-II2230-1
231,2021,2,II2230,2,59,2021-2-II2230-2
232,2021,2,II2240,1,56,2021-2-II2240-1
233,2021,2,II2240,2,58,2021-2-II2240-2
234,2021,2,II2250,1,58,2021-2-II2250-1
235,2021,2,II2250,2,66,2021-2-II2250-2
236,2021,2,II2260,1,56,2021-2-II2260-1
237,2021,2,II2260,2,61,2021-2-II2260-2
238,2021,2,II3220,1,50,2021-2-II3220-1
239,2021,2,II3220,2,49,2021-2-II3220-2
240,2021,2,II3230,1,59,2021-2-II3230-1
241,2021,2,II3230,2,55,2021-2-II3230-2
242,2021,2,II3240,1,56,2021-2-II3240-1
