date,temperature,wind,humidity
2021-09-04,24.333333333333332,13.666666666666666,62.666666666666664
2021-09-05,26.0,12.5,64.75
2021-09-06,24.666666666666668,14.0,71.66666666666667
2021-09-07,25.666666666666668,8.0,72.0
2021-09-08,27.25,11.75,60.25
2021-09-09,27.333333333333332,13.0,46.0
2021-09-10,24.666666666666668,10.333333333333334,59.666666666666664
2021-09-11,24.75,14.25,75.75
2021-09-12,24.5,13.75,79.75
2021-09-13,24.5,14.5,79.5
2021-09-14,21.0,,96.5
2021-09-15,25.0,13.0,76.66666666666667
2021-09-16,23.0,12.666666666666666,83.66666666666667
2021-09-17,26.0,12.75,62.75
2021-09-18,26.0,15.0,65.0
2021-09-19,27.0,12.0,63.5
2021-09-20,26.0,18.5,60.5
2021-09-21,24.666666666666668,15.0,71.66666666666667
2021-09-22,26.0,15.75,67.25
2021-09-23,25.75,13.666666666666666,73.75
2021-09-24,25.333333333333332,8.333333333333334,74.33333333333333
2021-09-25,24.666666666666668,8.0,80.0
2021-09-26,24.333333333333332,12.0,80.33333333333333
2021-09-27,25.0,14.0,78.0
2021-09-28,25.0,15.5,75.5
2021-09-29,26.0,13.5,72.25
2021-09-30,26.0,12.5,74.66666666666667
2021-10-01,25.333333333333332,14.333333333333334,78.0
2021-10-02,24.0,11.0,83.33333333333333
2021-10-03,25.0,9.0,72.0
2021-10-04,22.0,9.0,95.0
2021-10-05,26.25,18.5,67.75
2021-10-06,26.666666666666668,16.666666666666668,63.666666666666664
2021-10-07,25.333333333333332,15.333333333333334,67.33333333333333
2021-10-08,25.75,12.5,70.75
2021-10-09,25.5,11.75,73.5
2021-10-10,24.0,12.5,73.0
2021-10-11,23.666666666666668,14.0,82.0
2021-10-12,26.0,13.0,66.0
2021-10-13,25.0,11.75,67.0
2021-10-14,25.0,12.333333333333334,77.33333333333333
2021-10-15,25.0,12.25,81.75
2021-10-16,24.5,9.0,84.0
2021-10-17,24.666666666666668,9.5,85.0
2021-10-18,22.25,11.0,95.5
2021-10-19,22.333333333333332,8.0,91.0
2021-10-20,25.5,11.0,75.25
2021-10-21,28.333333333333332,16.0,71.0
2021-10-22,24.5,13.25,83.0
2021-10-23,24.666666666666668,10.666666666666666,75.66666666666667
2021-10-24,26.25,12.5,76.75
2021-10-25,,4.0,
2021-10-26,24.0,22.0,90.0
2021-10-27,23.75,13.0,86.0
2021-10-28,24.666666666666668,7.5,85.33333333333333
2021-10-29,23.666666666666668,6.333333333333333,92.33333333333333
2021-10-30,25.0,6.5,78.66666666666667
2021-10-31,24.0,6.5,83.33333333333333
2021-11-01,23.5,8.75,89.5
2021-11-02,23.333333333333332,5.5,87.33333333333333
2021-11-03,23.666666666666668,6.333333333333333,83.66666666666667
2021-11-04,24.25,11.0,90.5
2021-11-05,25.0,11.0,81.5
2021-11-06,24.5,12.0,83.75
2021-11-07,23.5,10.0,92.75
2021-11-08,23.333333333333332,10.5,86.66666666666667
2021-11-09,25.0,8.666666666666666,82.33333333333333
2021-11-10,23.75,14.5,89.25
2021-11-11,24.5,11.75,79.5
2021-11-12,23.0,8.0,88.33333333333333
2021-11-13,24.5,9.0,80.5
2021-11-14,24.75,12.5,80.0
2021-11-15,23.25,9.75,88.5
2021-11-16,24.75,13.666666666666666,81.75
2021-11-17,24.5,13.0,79.0
2021-11-18,25.5,14.5,78.0
2021-11-19,22.5,17.333333333333332,93.25
2021-11-20,25.5,12.5,71.75
2021-11-21,26.5,13.5,73.25
2021-11-22,26.0,14.5,76.75
2021-11-23,25.25,17.333333333333332,76.75
2021-11-24,25.333333333333332,56.333333333333336,69.66666666666667
