course_id,course_name,exam_paper_based,class_electronic
IF5134,Sumber Daya Informasi Enterprise,True,False
IF5135,Tatakelola Enterprise,True,False
IF5140,Perancangan Arsitektur Enterprise,False,False
IF5141,Manajemen Keamanan Informasi,True,False
IF5142,Nilai & Resiko Teknologi Informasi,False,False
IF5143,Riset & Inovasi Teknologi Informasi,True,True
IF5144,Jaringan Informasi & Sosial,False,False
IF5145,Manajemen Pengembangan Aplikasi,True,False
IF5150,Rekayasa Perangkat Lunak untuk Domain Game,True,False
IF5151,"Desain Interaksi,Visualisasi, dan Game",True,False
IF5152,Pemrosesan dan Manajemen Data Multimedia,False,True
IF5152,Pengembangan Aplikasi Piranti Bergerak,False,True
IF5153,Pemrosesan dan Manajemen Data Multimedia,True,False
IF5154,Pengembangan Aplikasi Media Interaktif dan Praktek,True,False
IF5170,Pemodelan dan Pengelolaan Data,False,False
IF5170,Visualisasi Data,False,False
IF5171,Pembelajaran Mesin DSAI,False,True
IF5171,Fundamental Intelijen Bisnis,False,True
IF5172,Datawarehouse & Data Mining,True,True
IF5173,Teori Manajemen & Organisasi,True,False
IF5174,Pengembangan Intelijen Bisnis & Operasi,True,False
IF5175,Analisis Data & Bisnis,True,False
IF5180,Inteligensi Buatan Lanjut,False,False
IF5181,Pengenalan Pola,True,False
IF5182,Representasi & Penalaran Pengetahuan,True,False
IF5200,Proyek Penelitian Terapan,False,True
IF5220,Kualitas Perangkat Lunak dan Verifikasi Formal,False,True
IF5221,Inovasi Produk Perangkat Lunak,False,True
IF5230,Aplikasi Inteligensi Buatan untuk Enterprise,False,True
IF5241,Manajemen Keamanan Informasi,True,False
IF5242,Jaringan Informasi & Sosial,True,True
IF5243,Manajemen Pengembangan Aplikasi,True,True
IF5250,Pengembangan Aplikasi Piranti Bergerak,False,True
IF5252,Teknologi Lanjut Media dan Piranti Bergerak,True,True
IF5270,Sistem Big Data,True,True
IF5271,Intelijen Bisnis dan Analitik,True,True
IF5280,Representasi dan Penalaran Pengetahuan,False,True
IF5281,Deep Learning,False,True
IF6010,Sistem Operasi Lanjut,True,False
IF6011,Sistem Terdistribusi Lanjut,True,False
IF6036,Strategi & Kebijakan Teknologi Informasi,True,False
IF6046,Manajemen Resiko Teknologi Informasi,False,True
IF6047,Sistem Layanan Cerdas,True,False
IF6048,Pembelajaran Multimedia,True,False
IF6049,Kewirausahaan Bidang Teknologi Informasi,False,True
IF6080,Pembelajaran Mesin Probabilistik,True,False
IF6081,Pemrosesan Suara Lanjut,True,False
IF6082,Pemrosesan Bahasa Alami Lanjut,True,False
IF6083,Vision,True,False
IF6090,Penulisan Jurnal  Internasional,True,False
IF6091,Kerja Praktek Industri,True,False
IF6093,Studi Mandiri A,False,True
IF6094,Studi Mandiri B,True,False
IF6099,Tesis,False,True
IF6125,Manajemen Rekayasa Perangkat Lunak,True,False
IF6130,Tata Pamong Data,True,False
IF6170,Visualisasi dan Narasi Data,True,True
II1101,Komputasi dan Masyarakat,True,False
II2110,Matematika STI,True,False
II2111,Probabilitas dan Statistik,False,False
II2130,Sistem dan Arsitektur Komputer,True,True
II2220,Manajemen Sumber Daya STI,True,True
II2221,Manajemen Proyek STI,False,True
II2230,Jaringan Komputer,False,True
II2240,Analisis Kebutuhan Sistem,False,True
II2250,Manajemen Basis Data,True,True
II2260,Sistem Embedded,False,True
II3120,Layanan Sistem dan Teknologi Informasi,False,True
II3121,Analisis Kebutuhan Enterprise,False,True
II3131,Interaksi Manusia Komputer,False,True
II3150,Sistem Multimedia,False,True
II3160,Teknologi Sistem Terintegrasi,False,True
II3220,Arsitektur Enterprise,False,True
